ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7D4|9|8077001|20|28597|85096|999999|3|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837013||0
7D4|10|8077001|20|28597|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837014||0
7D4|11|8077001|20|28597|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837015||0
7D4|12|8077001|20|28597|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837016||0
7D4|13|8077001|20|28597|85096|999999|6|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837017||0
7D4|14|8077001|20|59467|85096|999999|7|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837018||0
7D4|15|8077001|20|59467|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837019||0
7D4|16|8077001|20|59467|85096|999999|13|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837020||0
7D4|17|8077001|20|59467|85096|999999|1|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837021||0
7D4|18|8077001|20|28604|85096|999999|12|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837022||0
7D4|19|8077001|20|28604|85096|999999|4|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837023||0
7D4|25|8077001|20|27908|85096|999999|12|714|193.680000|7.620000|4.61|69.18|22/05/2030 05:30:21|95.27|E1837003||0
